Item3,Item5,Item7,Item8,Item9,Item10,Item11,Item12
1,0,0,0,0,1,0,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,0,0
1,1,1,1,1,0,0,0
0,1,1,0,1,1,0,1
0,1,1,1,1,1,0,0
0,0,1,1,0,1,0,1
1,1,0,1,1,1,0,0
1,0,0,0,0,1,0,0
1,1,0,1,1,1,1,0
1,1,0,1,1,0,1,0
0,0,1,0,1,0,0,1
1,0,1,0,0,0,0,0
0,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0
0,0,1,1,1,1,0,0
1,0,0,1,1,1,1,0
1,0,1,0,1,1,0,1
1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0
0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1
0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1
0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0
0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,0
1,0,0,1,0,1,1,0
0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,0
1,0,0,1,0,0,0,1
1,1,1,1,1,0,1,0
0,1,1,1,1,0,0,1
0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0
0,1,1,0,1,0,0,0
1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0
1,0,0,1,0,0,0,0
1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,1
1,0,1,1,1,1,0,0
0,0,1,1,1,1,0,1
1,0,1,1,0,1,0,0
0,0,0,1,0,0,1,1
1,0,1,0,1,1,1,0
1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1
1,0,1,1,1,1,1,0
0,0,0,0,1,1,0,0
1,0,1,0,0,1,1,1
1,1,1,1,1,1,0,0
0,0,0,0,1,1,0,0
0,1,1,0,1,1,1,1
0,1,0,1,0,1,1,0
1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,1
1,0,1,1,1,1,0,1
0,0,1,1,1,0,0,0
1,0,1,1,1,1,0,1
0,0,1,0,1,0,1,0
0,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0
1,1,1,0,1,1,1,0
0,1,1,0,1,1,0,0
1,1,0,0,1,1,0,1
1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1
1,1,0,1,1,1,0,0
1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0
1,0,1,0,0,0,0,1
1,0,1,1,1,1,1,0
1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0
1,0,1,1,1,1,1,0
0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0
0,0,1,0,1,1,0,0
1,1,0,1,1,1,1,0
1,0,1,1,1,0,0,1
0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,0
1,0,1,0,1,0,0,0
1,1,1,1,1,1,0,1
1,1,0,1,0,1,0,1
0,1,0,1,1,1,0,0
1,0,1,0,0,1,1,0
0,0,0,0,1,1,0,1
0,1,1,1,1,1,1,0
1,0,0,1,1,1,0,0
1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,0
1,1,0,1,1,1,1,0
1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1
1,0,1,0,1,0,0,0
0,0,1,0,1,1,0,0
1,0,0,1,1,1,0,0
1,1,1,1,1,1,0,0
1,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0
0,0,0,1,1,1,0,0
1,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0
0,1,1,0,1,0,1,0
0,0,1,1,1,1,1,0
0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0
1,1,1,1,0,1,0,1
1,1,1,1,1,1,0,0
0,1,1,1,1,1,0,1
1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0
1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,0
1,1,0,1,0,1,1,0
1,0,1,1,1,0,1,0
0,0,0,0,1,0,1,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,0,0
1,0,0,1,1,0,1,1
1,0,1,1,1,1,0,1
0,0,1,0,0,0,1,1
1,1,1,1,1,1,0,0
0,1,0,0,0,1,1,0
0,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1
0,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1
0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0
0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0
1,0,1,0,1,0,0,1
0,1,1,0,0,0,0,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,0
1,1,1,1,1,1,0,1
1,0,0,1,0,0,0,0
0,0,1,0,1,1,1,1
0,0,0,0,1,0,0,0
1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,0
1,0,1,1,1,1,0,1
0,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1
0,0,1,1,0,1,0,0
0,0,0,1,1,1,0,0
1,0,1,1,1,1,1,0
1,0,1,1,0,1,0,0
1,0,1,1,1,1,1,0
0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,1
1,1,1,1,1,1,0,0
1,1,1,0,1,1,1,1
1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0
1,0,0,1,1,1,0,1
0,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0
0,0,0,1,1,1,0,1
0,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0
1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,0
0,1,1,0,1,1,0,0
0,0,0,1,1,0,0,0
1,0,1,0,1,1,0,0
1,0,1,1,0,1,1,1
1,0,0,1,1,1,1,1
1,0,1,1,1,0,0,0
0,0,0,0,1,0,0,1
1,1,0,1,1,0,0,1
1,1,1,1,0,1,1,0
1,1,1,1,1,1,0,1
1,0,0,1,1,1,0,0
1,0,1,1,1,1,1,1
1,0,1,1,1,0,1,1
1,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0
1,1,1,1,1,1,0,0
1,1,0,1,1,0,0,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,0,0
0,0,1,1,0,0,0,0
1,1,0,1,1,1,0,0
1,1,0,0,1,0,0,0
1,0,0,1,1,1,1,1
1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
1,1,1,0,1,1,0,1
1,0,0,1,0,0,0,0
1,0,1,1,1,0,0,0
1,0,1,1,1,1,1,0
0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0
0,0,1,1,0,0,0,1
1,0,1,0,1,0,0,0
1,0,1,0,1,0,0,1
1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0
1,0,1,1,1,0,0,0
1,1,0,1,1,1,1,0
0,0,1,0,1,1,0,1
1,0,1,1,1,1,0,0
0,0,1,0,1,1,0,0
1,0,1,1,0,1,1,0
1,1,1,1,1,1,0,0
0,1,0,1,1,1,1,0
0,1,1,1,1,1,0,0
0,0,0,0,1,1,1,0
0,0,1,0,1,1,0,0
0,1,0,0,0,1,0,0
1,0,1,1,1,0,0,0
1,0,1,1,1,1,0,0
0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0
0,1,1,1,0,1,1,1
0,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1
0,1,1,0,1,0,1,0
0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1
0,0,0,0,1,1,0,0
0,0,1,0,1,0,0,1
0,0,1,0,1,1,0,1
0,0,0,0,1,0,1,0
0,0,1,1,1,1,0,0
1,1,1,0,1,1,0,1
1,0,1,1,1,1,0,0
1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1
0,0,0,1,1,0,0,0
1,0,1,1,1,1,1,0
1,1,1,0,1,1,0,0
1,0,0,1,1,1,0,0
0,1,1,1,1,1,1,0
1,0,1,1,1,0,1,1
0,0,1,0,1,1,0,1
1,1,1,0,1,1,0,0
1,0,1,1,0,1,1,0
1,0,1,1,1,1,1,0
0,0,1,0,1,1,0,0
0,1,0,1,0,1,1,1
0,0,0,0,1,1,0,0
0,0,1,1,1,1,1,0
1,1,0,1,1,1,0,0
0,0,0,0,1,0,0,0
1,0,0,1,1,1,1,1
1,0,1,0,1,1,0,0
0,0,0,0,1,0,0,0
1,1,0,1,1,1,1,0
1,1,1,0,1,0,1,1
0,0,1,1,1,1,1,1
0,0,0,0,1,0,0,0
0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1
0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0
1,0,1,0,1,1,1,0
1,0,1,1,0,0,0,0
1,0,1,1,1,0,1,0
1,0,1,1,1,1,0,0
1,0,1,1,0,1,1,0
1,1,1,0,1,1,0,0
1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0
0,0,1,0,1,1,1,1
1,0,1,1,1,1,1,0
1,0,1,1,1,0,1,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1
0,1,1,0,1,0,0,0
0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1
1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0
1,0,1,1,1,0,1,0
1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1
0,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0
1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1
1,1,0,0,0,0,0,0
1,1,0,0,1,1,1,0
1,0,0,0,0,1,0,1
1,0,0,1,0,1,1,0
1,0,1,1,1,1,0,0
1,0,0,1,1,1,0,0
1,1,1,1,1,1,0,0
1,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1
0,0,1,1,1,1,0,1
0,0,1,0,1,1,0,0
1,0,1,1,1,1,0,0
0,0,1,0,1,1,1,0
0,0,0,1,1,1,0,0
1,0,1,0,1,1,0,0
1,1,1,0,1,1,0,0
1,1,1,1,1,1,0,1
0,0,1,0,1,0,0,0
1,0,0,0,1,1,0,0
0,1,1,1,1,1,1,0
1,0,1,0,1,1,0,0
0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,1,1,0,1,0,0
1,1,1,1,1,0,1,0
1,1,1,0,0,0,0,0
1,0,1,1,1,1,1,0
1,1,0,1,0,1,0,0
1,1,1,1,1,1,1,0
0,1,0,0,1,0,0,0
0,0,0,1,1,1,0,0
1,0,1,0,0,0,0,0
0,1,1,1,1,1,0,0
1,0,1,0,1,1,0,0
0,0,1,0,0,0,0,0
0,1,1,1,1,1,0,0
0,1,1,1,0,0,1,0
0,1,1,1,1,1,1,0
1,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0
1,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,1
0,1,0,0,1,1,0,0
0,0,1,1,1,1,0,0
1,1,1,0,1,0,0,1
1,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0
1,1,1,0,1,1,0,0
0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0
1,1,1,1,1,1,0,0
1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,0
1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1
0,0,1,0,1,0,0,0
1,1,1,0,1,1,1,1
1,0,0,1,1,1,0,1
1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,0
0,1,1,0,1,1,0,0
0,0,1,1,0,1,1,0
1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
1,0,1,0,1,1,1,1
1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,0
1,0,1,0,1,1,0,0
1,0,1,1,1,1,0,1
1,0,1,1,1,1,1,0
0,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0
0,1,1,0,1,1,1,1
1,0,0,0,0,1,0,0
1,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0
1,0,1,1,0,1,0,0
1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,1
0,0,1,0,0,1,1,0
1,1,0,0,1,1,0,0
1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0
1,0,1,1,0,1,1,0
0,0,1,0,1,1,0,0
1,1,1,1,1,1,0,0
0,0,0,1,1,1,0,0
1,0,0,1,1,1,1,0
0,0,1,1,1,0,0,0
0,0,0,0,1,0,0,0
0,1,0,1,1,1,1,0
1,1,0,1,1,0,0,0
1,1,1,0,1,0,0,0
1,1,1,1,1,1,0,1
1,0,1,1,1,1,0,0
0,1,1,1,1,1,0,0
1,1,1,1,0,1,1,0
0,0,0,0,1,0,0,0
0,1,1,0,1,0,1,0
1,0,1,1,0,1,0,0
1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0
0,0,0,1,1,0,0,0
1,0,1,1,1,0,0,1
1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1
1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1
1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0
1,0,1,1,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,1,1,1,0,0
0,1,0,0,0,1,0,0
1,0,1,1,1,1,0,0
1,0,0,0,0,0,1,0
0,0,1,1,1,1,1,0
0,1,0,1,0,0,0,0
1,0,0,0,0,0,1,1
1,1,0,1,1,1,0,0
1,0,1,1,1,1,0,0
0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,0
1,0,1,1,1,1,0,0
1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,0
1,0,1,0,1,1,1,1
1,1,1,1,1,0,1,1
0,1,1,0,1,0,0,0
0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0
0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,0
1,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0
1,0,1,0,1,1,0,0
1,1,1,0,1,1,0,0
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0
0,0,1,1,1,1,0,0
1,0,1,1,1,1,0,1
1,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0
1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0
0,1,0,1,1,0,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0
1,0,1,1,0,0,1,0
1,0,1,1,1,1,1,0
1,0,1,0,1,1,1,1
0,1,1,1,1,0,0,0
1,1,1,1,1,1,0,0
0,0,1,0,0,1,0,0
0,0,1,0,1,1,0,0
0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0
0,1,1,1,1,1,0,0
0,0,1,0,1,1,0,0
0,1,1,0,1,1,1,1
0,0,1,0,0,0,1,0
1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,0
0,0,1,0,0,1,1,0
1,1,1,1,1,1,0,1
1,0,1,0,1,0,0,0
0,1,1,1,0,1,0,0
1,1,0,1,1,1,1,0
0,0,0,1,1,0,0,0
0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,1
1,0,1,0,1,1,0,0
0,1,0,0,1,1,1,1
1,0,1,1,1,1,1,0
1,1,1,0,1,1,0,0
0,1,1,0,1,1,0,0
0,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0
1,0,1,1,1,1,0,0
1,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0
1,1,1,0,1,1,1,0
1,1,0,0,1,0,0,0
1,1,1,1,1,0,1,1
1,0,1,1,1,0,0,1
1,1,0,1,1,1,1,1
1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0
0,0,1,1,1,1,0,1
0,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1
1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1
0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
1,1,0,1,1,1,0,0
0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0
0,0,1,0,1,0,0,0
1,1,1,1,1,0,0,0
0,1,0,0,1,1,1,0
1,0,0,1,1,1,0,0
1,1,1,1,1,1,0,1
0,0,1,1,1,1,1,1
0,1,1,1,1,1,1,0
1,1,0,1,1,0,1,0
1,0,1,1,0,1,1,0
0,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1
1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1
0,0,1,1,1,1,1,0
0,0,1,0,1,1,1,0
1,0,0,1,0,1,1,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,0,0
1,0,1,1,0,1,1,1
1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,0
0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,0
1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0
0,0,0,0,1,1,0,0
0,0,1,0,1,0,1,1
1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,1
0,0,1,0,1,0,0,0
0,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,1,1,1,0,0
1,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1
0,1,1,0,1,0,0,0
0,1,1,0,1,0,0,0
0,0,1,1,0,0,0,0
0,1,0,1,1,1,0,0
0,0,0,0,1,0,0,0
1,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0
1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1
0,0,0,1,0,0,0,0
1,1,1,1,1,1,0,0
0,1,0,1,0,1,0,0
1,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0
0,1,1,1,1,1,0,1
1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,1
